-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,18,18,18,-1,-1,-1,-1,-1,-1,-1
-1,-1,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
-1,-1,9,16,-1,-1,-1,-1,-1,-1,-1,2,-1,4,-1,-1
-1,19,16,-1,-1,-1,-1,-1,-1,5,4,4,4,16,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,19,14,14,14,16,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,18,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,20,-1
-1,-1,-1,-1,-1,-1,-1,19,20,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,5,20,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,5,10,-1,-1,-1,-1,-1,19,18,18,18,20
-1,-1,5,18,14,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,19,16,-1,-1,-1,-1,-1,19,18,20,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
