-1,0,-1,-1,-1,-1,-1,-1,19,20,-1,-1,-1,-1,19,20
19,18,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,18,7,7,6,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,9,8,16,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15,16,-1,-1,-1,0,0,-1,-1,-1
-1,-1,2,-1,3,-1,-1,-1,-1,-1,19,18,18,18,20,-1
-1,-1,19,18,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,0,-1,-1,5,6,-1,-1,3,-1,-1,-1
-1,-1,-1,19,18,18,18,18,14,14,18,18,20,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,19,18,20,-1,-1,-1,-1
19,18,18,18,18,20,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,20
